,분류,제목,날짜,주소,,,,,,,,,
633,AI학부 공지사항,2023학년도 1학기 형제·자매 장학금 신청 안내,2023-05-02,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444717&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
634,AI학부 공지사항,[대학혁신] 2023학년도 DU BSM e-class(기초수학) 프로그램 운영 안..,2023-04-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444025&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
635,AI학부 공지사항,[대학혁신] 2023 All in Care 상담 관련 부서 연합박람회 개최 안내..,2023-04-27,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=444020&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
636,AI학부 공지사항,"인공지능팩토리 주관, 제5회 2023 연구개발특구 AI SPARK 챌린지..",2023-04-20,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=443260&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
637,AI학부 공지사항,동북권(대구) 메타버스 아카데미 2기 모집,2023-04-14,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442641&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
638,AI학부 공지사항,[국제처] 하계방학 해외단기연수 프로그램 홍보 안내..,2023-04-12,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442199&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
639,AI학부 공지사항,[대학혁신] 2023학년도 1학기 학생설계전공 개발 공모 신청 안내..,2023-04-11,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=442105&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
640,AI학부 공지사항,2023년 제2차 평생교육사 자격증 발급 신청 안내,2023-04-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=441950&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
641,AI학부 공지사항,[대학혁신] 2023학년도 「DU 북(Book)돋움 독후감 공모전」안내..,2023-04-10,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=441903&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
642,AI학부 공지사항,대한상공회의소 주관 Job MT 홍보 안내,2023-04-05,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=441363&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
643,AI학부 공지사항,2023 찾아가는 진로탐색 멘토단 모집 안내,2023-03-31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=440742&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
644,AI학부 공지사항,[대학혁신]2023학년도 국외 파견을 위한 사전교육 프로그램 실시 안..,2023-03-31,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=440664&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
645,AI학부 공지사항,[교육성과관리센터]자기주도활동 실적 입력 안내,2023-03-30,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=440592&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
646,AI학부 공지사항,2023년 대학교 예비군훈련 계획 공고,2023-03-29,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=440439&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
647,AI학부 공지사항,※필수※[실험실] 2023학년 1학기 온라인 안전교육 이수..,2023-03-28,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=440223&page=3&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
648,AI학부 공지사항,[대학일자리플러스센터] 단과대학별 진로취업멘토링 프로그램 안내..,2023-03-21,https://ai.daegu.ac.kr/hakgwa_home/ai/sub.php?mode=view&idx=439323&page=4&menu=page&menu_id=1011&search_field=&search_key=&search_cate=,,,,,,,,,
