,class,title,date,url
37,학생모집,[대학혁신] 2023학년도 학부교육실태조사(K-NSSE ...,2023-09-04,https://daegu.ac.kr/article/DG159/detail/637483
38,수업학적,웅지관 학생 휴게실 사용 안내,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637477
39,장학,2023년도 2학기 (재)지헌장학재단 삼원/지헌장학생 ...,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637476
40,장학,2023년도 (재)포항시장학회 장학생 선발,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637475
41,장학,2023- 2학기 푸른등대 KB Dream Wave 2 ...,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637472
42,학생모집,[LINC3.0] 2023학년도 제2학기 캡스톤디자인 ...,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637465
43,장학,[재단] 2023년 2학기 중소기업 취업연계 장학사업( ...,2023-09-01,https://daegu.ac.kr/article/DG159/detail/637464
44,도서관,[도서관 북큐레이션] 나를 위한 새로운 도전,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637459
45,장학,(재)경주시장학회 장학생 선발 계획 공고,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637456
46,학생모집,[추가모집] 2023년도 경북신용보증재단 2학기 학기제 ...,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637454
47,장학,2023년도 하반기 (재)인천인재평생교육진흥원 장학생 ...,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637453
48,장학,2023년도 하반기 달서인재육성장학재단 장학생 선발 공 ...,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637452
49,도서관,2023-2학기 도서관 이용교육 일정 안내,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637451
50,학생모집,[IPP] (주)한의 IPP형 일학습병행 학기제 현장실 ...,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637450
51,장학,[수정] 2023학년도 2학기 국가근로 진행 변경사항 ...,2023-08-31,https://daegu.ac.kr/article/DG159/detail/637446
