,class,title,date,url
119,복지,2023-2학기 시외노선 통학버스 신청 안내,2023-08-11,https://daegu.ac.kr/article/DG159/detail/637141
120,장학,2023학년도 2학기 예비 장학생 선발 확인 안내,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637137
121,장학,2023-2학기 국가장학금 2차 신청 안내,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637135
122,수업학적,[수업] 2023-2학기 장바구니 자동이관 및 본 수강 ...,2023-08-10,https://daegu.ac.kr/article/DG159/detail/637133
123,행정안내,"제6호 태풍 ""카눈"" 관련 재난 안전관리 협조 요청",2023-08-09,https://daegu.ac.kr/article/DG159/detail/637129
124,도서관,도서관 휴관 안내 8.10(목),2023-08-09,https://daegu.ac.kr/article/DG159/detail/637127
125,수업학적,학생회관 임시 폐쇠 안내,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637125
126,수업학적,[대학혁신] DU학과 탐색 프로그램(함께하는 우리)2 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637123
127,학생모집,[국내현장실습] (주)이랜드파크켄싱턴리조트 하동지점 학 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637118
128,교육봉사,[교육봉사] 달서구청소년문화의집 대학생 활동 멘토링 교 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637115
129,교육봉사,[교육봉사] 대전가원학교 2023학년도 2학기 자원봉사 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637114
130,수업학적,[차세대] 2023-2학기 반도체 제대로 이해하기 시험 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637112
131,학생모집,[평생교육원 행정실] 2023-2학기 수강생 모집 안내,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637109
132,학생모집,[국내현장실습] 2023년도 대구경북첨단의료산업진흥재단 ...,2023-08-09,https://daegu.ac.kr/article/DG159/detail/637104
133,학생모집,[IPP]그랜드하얏트 제주 채용연계 학기제 현장실습 모 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637102
134,학생모집,[IPP] 힐튼경주 2023-2학기 일학습병행 연계과정 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637101
135,학생모집,[국내현장실습] 2023년도 대구YMCA 2학기 학기제 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637086
136,학생모집,[국내현장실습] 2023년도 한국부동산원 2학기 학기제 ...,2023-08-08,https://daegu.ac.kr/article/DG159/detail/637085
137,도서관,부서연수로 인한 도서관 휴관 안내,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637063
138,학생모집,[대학혁신] 2023학년도 학적변동 성공사례 수기 공 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637052
139,수업학적,[교직] 2023학년도 일반대학 교직과정 이수예정자 추 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637048
140,교육봉사,[교육봉사] 2023년도 9-12월 대구창의융합교육원 ...,2023-08-07,https://daegu.ac.kr/article/DG159/detail/637046
141,장학,2023년도 2학기 2차 국가근로장학금 학생신청기간 및 ...,2023-08-03,https://daegu.ac.kr/article/DG159/detail/637025
142,장학,2023-2학기 국가근로(교내 및 교외) 신청안내,2023-08-02,https://daegu.ac.kr/article/DG159/detail/637010
143,수업학적,"[원격수업]2023-2학기 DU-MOOC,가상강좌 시 ...",2023-07-28,https://daegu.ac.kr/article/DG159/detail/637000
144,수업학적,[원격수업] 2023학년도 2학기 K-MOOC 시험(중 ...,2023-07-28,https://daegu.ac.kr/article/DG159/detail/636995
145,수업학적,2023-2학기 군교육훈련 학점인정 신청 안내,2023-07-26,https://daegu.ac.kr/article/DG159/detail/636969
146,학생모집,[IPP] 롯데호텔울산 2023-2학기 일학습병행 연 ...,2023-07-26,https://daegu.ac.kr/article/DG159/detail/636968
147,학생모집,[IPP] 힐튼경주 2023-2학기 일학습병행 연계과정 ...,2023-07-26,https://daegu.ac.kr/article/DG159/detail/636966
148,학생모집,[국내현장실습] 요다정보기술(주) 2학기 학기제 국내현 ...,2023-07-26,https://daegu.ac.kr/article/DG159/detail/636964
149,수업학적,2023학년도 2학기 수업시간표 열람 및 수강신청 일정 ...,2023-07-24,https://daegu.ac.kr/article/DG159/detail/636945
